Date,BTS1,BTS2,BTS3,BTS4,BTS5
11/1/2018 7:12,6.010008,5.885784,3.87696,3.700558,3.947614
11/1/2018 7:12,5.880412,4.735633,4.319656,2.927285,4.989014
11/1/2018 7:12,5.854446,7.442065,4.102403,2.939214,4.254276
11/1/2018 7:13,5.817681,5.403361,3.073169,3.469042,4.326408
11/1/2018 7:13,5.926892,5.181169,2.648258,2.414832,4.555254
11/1/2018 7:13,5.939213,5.580608,3.251894,2.490596,4.467867
11/1/2018 7:13,6.042196,6.334972,3.342578,3.246677,3.679626
11/1/2018 7:13,5.873773,5.340336,4.251022,3.730162,5.255464
11/1/2018 7:13,6.137841,5.827135,3.13257,4.308174,3.783595
11/1/2018 7:13,6.023047,4.657788,3.537414,2.87009,3.923679
11/1/2018 7:13,6.004237,4.659368,3.956979,2.277253,4.294747
11/1/2018 7:13,5.799996,5.887057,3.271239,2.67639,5.814704
11/1/2018 7:13,5.973122,6.685335,3.992313,3.765822,2.862908
11/1/2018 7:13,6.013393,5.734329,4.729985,3.166538,5.220855
11/1/2018 7:13,6.221499,4.547741,3.182643,4.190609,4.455398
11/1/2018 7:14,6.110069,6.069211,3.385772,3.781654,4.156769
11/1/2018 7:14,6.012354,7.398996,2.434242,3.434628,6.323695
11/1/2018 7:14,5.797367,5.440715,3.022193,2.90636,4.124542
11/1/2018 7:14,5.963289,5.958769,2.735937,2.742829,3.406354
11/1/2018 7:14,5.969854,5.226615,3.881374,3.957095,3.573092
11/1/2018 7:14,5.732113,5.643621,3.232463,4.365622,3.58714
11/1/2018 7:14,5.844709,5.836466,4.537311,3.085498,4.387105
11/1/2018 7:14,6.174323,5.649014,3.579502,2.488626,4.893593
11/1/2018 7:14,6.05867,5.604059,3.78019,2.623487,3.406894
11/1/2018 7:14,5.96748,5.079476,3.199142,3.677421,4.214886
11/1/2018 7:14,6.167217,5.86137,2.809693,3.10305,3.521679
11/1/2018 7:14,5.868483,5.009527,3.061932,3.874647,5.282588
11/1/2018 7:15,6.102949,4.356277,3.446275,3.243925,4.756192
11/1/2018 7:15,5.935179,5.829335,4.187701,3.04909,3.33344
11/1/2018 7:15,5.722078,5.626932,3.697334,4.689362,2.674964
11/1/2018 7:15,5.749461,4.61649,2.968312,2.972127,3.41549
11/1/2018 7:15,5.874607,4.340133,3.297098,2.69785,3.949347
11/1/2018 7:15,5.9177,4.542239,3.365386,3.081874,4.190804
11/1/2018 7:15,5.986823,9.433675,3.964484,5.221803,2.92944
11/1/2018 7:15,5.983098,10.38358,3.120777,3.635877,4.552664
11/1/2018 7:15,5.655187,5.126976,3.324444,2.748545,5.385249
11/1/2018 7:15,5.764753,5.670985,3.177281,3.333631,3.40241
11/1/2018 7:15,6.205622,5.427563,4.454046,3.070591,3.785912
11/1/2018 7:15,6.108897,6.047415,2.827745,3.305487,5.039091
11/1/2018 7:16,5.731524,6.006594,2.725916,2.779134,5.454378
11/1/2018 7:16,6.029646,5.162834,4.159448,2.498281,4.217474
11/1/2018 7:16,6.019389,4.26882,4.300099,3.473868,4.394593
11/1/2018 7:16,6.379414,4.897149,3.656285,2.993426,3.885961
11/1/2018 7:16,5.731643,5.901525,3.24439,2.759454,4.632144
11/1/2018 7:16,5.954909,5.940654,2.833163,3.334782,5.282027
11/1/2018 7:16,6.228748,4.410885,3.400173,3.179959,3.771265
11/1/2018 7:16,6.251411,4.302508,3.280279,2.714455,3.24062
11/1/2018 7:16,6.085285,5.045845,2.682318,2.601559,4.096867
11/1/2018 7:16,5.935189,3.987835,3.237909,2.869471,4.792608
11/1/2018 7:16,5.856316,4.352024,5.056163,2.904562,3.598096
11/1/2018 7:16,5.983222,6.028227,3.511385,3.804026,5.985128
11/1/2018 7:17,5.957602,5.670692,2.830139,3.365162,4.932661
11/1/2018 7:17,6.10675,4.868982,2.919613,2.897734,3.428863
11/1/2018 7:17,5.579743,6.316699,3.015724,2.519105,3.715892
11/1/2018 7:17,5.819379,5.756869,3.143698,2.651967,3.570007
11/1/2018 7:17,6.00627,4.430848,3.307242,2.845315,4.644654
11/1/2018 7:17,5.754165,7.3336,4.354222,2.707762,4.568965
11/1/2018 7:17,5.802366,5.289653,4.990766,2.622358,4.542998
11/1/2018 7:17,5.867182,6.768634,3.732856,4.716948,4.993329
11/1/2018 7:17,5.886579,7.387463,2.760163,3.713923,4.430708
11/1/2018 7:17,5.895037,5.610203,4.037085,3.263118,5.499485
